-------------------------------------
+ 104 sentences found and listed blow:
-------------------------------------

line 0000012 from [例句.txt]: 1997年是李素丽 *最难忘的* 一年1月26日被定为澳大利亚国庆节
line 0000058 from [围城.txt]: 苏小姐听了 *最后几句小家子气的* 话不由心里又对孙太太鄙夷冷冷说道方先
line 0000077 from [围城.txt]: 空白皮鞋里露出涂红的指甲在热带热天也话这是 *最合理的* 妆束船上有一两
line 0000116 from [围城.txt]: 娃最出名年轻人时大学以学土木为 *最多铁的* 硬豆腐的淡而无味轿子的容
line 0000116 from [围城.txt]: 娃最出名年轻人时大学以学土木为 *最多铁的硬豆腐的* 淡而无味轿子的容
line 0000306 from [红楼梦.txt]: 样诗礼之家岂有不善教育之理别门不知只说这宁荣二宅是 *最教子有方的* 子兴叹道正说的是这两门呢待我告诉你当日宁国公与荣国公是一母同胞弟
line 0000316 from [红楼梦.txt]: 政自幼酷喜捕潦祖父 *最疼原欲以科甲出身的* 不料代善临终时遗本一上皇上因
line 0000668 from [红楼梦.txt]: 省 *最有权有势极富极贵的* 大乡绅名姓各省皆然倘若不知一时触犯了这样的人家
line 0001531 from [红楼梦.txt]: 姐姐熏的是什么香我竟从未闻见过这味儿宝钗笑道我 *最怕熏香好好的* 衣服
line 0001548 from [红楼梦.txt]: 就酒才好薛姨妈便令人去灌了 *最上等的* 酒来李嬷嬷便上来道姨太太酒倒罢了
line 0001557 from [红楼梦.txt]: 知道酒性 *最热若热吃下去发散的* 就快若冷吃下去便凝结在内以五脏去暖他岂
line 0001678 from [红楼梦.txt]: 古文一概不用虚应故事只是先把四书一气讲明背熟是 *最要紧的* 李贵忙答应是见贾政无话方退出去
line 0001722 from [红楼梦.txt]: 二人又气又急忙进去向贾瑞前告金荣说金荣无故欺负他两个原来这贾瑞 *最是个图便宜没行止的* 人每在学中以公报私勒索子弟们请他后又附助着薛蟠图些银钱
line 0001756 from [红楼梦.txt]: 以二人同桌而坐谁知贾菌年纪虽小志气 *最大极是淘气不怕人的* 他在座上冷眼看
line 0001872 from [红楼梦.txt]: 问 *最渊博的* 更兼医理极深且能断人的生死今年是上京给他儿子来捐官现在他家
line 0001934 from [红楼梦.txt]: 性命终久有妨无妨先生笑道大爷是 *最高明的* 人人病到这个地位非一朝一夕的
line 0003354 from [红楼梦.txt]: 事的人一样第一个宝玉是极无事 *最闲暇的* 偏这日一早袭人的母亲又亲来回过贾
line 0003469 from [红楼梦.txt]: 然是个 *最难得的* 或者感动了老太太老太太必不放我出去的设或多给我们家几两
line 0003584 from [红楼梦.txt]: 个不难等我变来说毕摇身说变竟变了一个 *最标致美貌的* 一位小姐众耗忙笑
line 0004619 from [红楼梦.txt]: 你是 *最肯济困扶危的* 人难道就眼睁睁的看人家来摆布死了我们娘儿两个不成难道
line 0005878 from [红楼梦.txt]: 晴雯听了笑道既这么说你就拿了扇子来我撕我 *最喜欢撕的* 宝玉听了便笑
line 0006610 from [红楼梦.txt]: 得意贾政也着实看待故与别个门生不同他那里常遣人来走动宝玉素习 *最厌愚男蠢女的* 今日却如何又令两个婆子过来其中原来有个原故只因那宝玉闻得傅试有
